id,user_login,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
9814706,georgiangent,,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/13432729/medium.jpg,35.1103367,-77.04175472,Tillandsia usneoides,Spanish moss,49569,Bromeliaceae
37977324,autrpy,Austin Pursley,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/60286939/medium.jpg,34.85121389,-76.78283333,Iris verna,Dwarf Iris,164138,Iridaceae
37977328,autrpy,Austin Pursley,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/60287604/medium.jpg,34.90873333,-76.82302778,Sabal minor,Dwarf Palmetto,81804,Arecaceae
38013598,autrpy,Austin Pursley,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/60346939/medium.jpg,34.88197528,-76.80913222,Gelsemium sempervirens,yellow jessamine,83070,Gelsemiaceae
38013630,autrpy,Austin Pursley,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/60352421/medium.jpg,34.90902222,-76.82071667,Magnolia tripetala,umbrella magnolia,84790,Magnoliaceae
38626701,autrpy,Austin Pursley,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/61416386/medium.jpg,34.86726389,-76.80523611,Smilax glauca,sawbrier,81831,Smilacaceae
38626706,autrpy,Austin Pursley,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/61416758/medium.jpeg,34.86740833,-76.80546111,Smilax laurifolia,laurel-leaf greenbrier,169043,Smilacaceae
39971600,autrpy,Austin Pursley,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/63465357/medium.jpeg,34.86527222,-76.80500278,Morella cerifera,wax myrtle,119956,Myricaceae
39971605,autrpy,Austin Pursley,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/63465892/medium.jpeg,34.86518878,-76.80478459,Liquidambar styraciflua,American sweetgum,49658,Altingiaceae
39971623,autrpy,Austin Pursley,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/63470247/medium.jpg,34.86421389,-76.80319722,Leucothoe axillaris,Swamp Dog-laurel,127488,Ericaceae
39971624,autrpy,Austin Pursley,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/63471896/medium.jpg,34.86448889,-76.80341667,Gelsemium sempervirens,yellow jessamine,83070,Gelsemiaceae
