id,user_login,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
611005,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770333/medium.jpg,34.9194452234,-77.1642458249,Sarracenia purpurea,purple pitcher plant,52651,Sarraceniaceae
611034,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770340/medium.jpg,34.9061482719,-77.1357971658,Dionaea muscipula,Venus flytrap,52666,Droseraceae
611037,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770349/medium.jpg,34.914441,-77.056446,Drosera capillaris,Pink Sundew,162094,Droseraceae
611038,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770355/medium.jpg,34.8854524918,-77.0296282139,Drosera brevifolia,dwarf sundew,162093,Droseraceae
611099,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770418/medium.jpg,34.8590801844,-77.0653626989,Bartonia verna,White Screwstem,159180,Gentianaceae
611101,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770425/medium.jpg,34.914441,-77.056446,Pyxidanthera barbulata,Savanna Pyxiemoss,59221,Diapensiaceae
611110,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770470/medium.jpg,34.9553244745,-77.1082677523,Chamaedaphne calyculata,leatherleaf,132767,Ericaceae
611112,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770474/medium.jpg,34.914441,-77.056446,Ilex myrtifolia,Myrtle Dahoon,164044,Aquifoliaceae
611121,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770490/medium.jpg,34.821935418,-77.1603072486,Litsea aestivalis,Pondspice,224028,Lauraceae
611126,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770502/medium.jpg,34.914441,-77.056446,Gelsemium sempervirens,yellow jessamine,83070,Gelsemiaceae
611159,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770550/medium.jpg,34.914441,-77.056446,Tillandsia usneoides,Spanish moss,49569,Bromeliaceae
611167,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770564/medium.jpg,34.914441,-77.056446,Aquilegia canadensis,red columbine,49868,Ranunculaceae
611169,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770566/medium.jpg,34.914441,-77.056446,Sanguinaria canadensis,bloodroot,51044,Papaveraceae
611198,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770597/medium.jpg,34.914441,-77.056446,Aesculus pavia,Red Buckeye,81708,Sapindaceae
611206,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770610/medium.jpg,34.914441,-77.056446,Fragaria virginiana,Virginia strawberry,77155,Rosaceae
611210,scadwell,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/770614/medium.jpg,34.914441,-77.056446,Symplocos tinctoria,Sweetleaf,141855,Symplocaceae
