id,user_login,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
7421173,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9641866/medium.jpg,36.25771669,-75.78960056,Parthenocissus quinquefolia,Virginia creeper,50278,Vitaceae
7421224,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9641938/medium.jpg,36.25711278,-75.78984205,Smilax bona-nox,saw greenbrier,125677,Smilacaceae
7421249,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9642010/medium.jpg,36.25713117,-75.78984305,Toxicodendron radicans,eastern poison ivy,58732,Anacardiaceae
7421373,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9642163/medium.jpg,36.25683169,-75.78969536,Centrosema virginianum,butterfly pea,127681,Fabaceae
7421590,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9642472/medium.jpg,36.25654834,-75.78925892,Liquidambar styraciflua,American sweetgum,49658,Altingiaceae
7421638,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9642545/medium.jpg,36.2565273,-75.78919949,Centella erecta,American Coinwort,160295,Apiaceae
7421649,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9642553/medium.jpg,36.25624357,-75.78915599,Hypericum hypericoides,St. Andrew's cross,120009,Hypericaceae
7421670,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9642604/medium.jpg,36.25599727,-75.78898106,Eupatorium serotinum,late boneset,52934,Asteraceae
7421702,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9642671/medium.jpg,36.25559611,-75.78866682,Rhexia mariana,Maryland meadowbeauty,126318,Melastomataceae
7422406,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9644200/medium.jpg,36.25141551,-75.78508289,Centella erecta,American Coinwort,160295,Apiaceae
7422412,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9644219/medium.jpg,36.25013384,-75.78495439,Eupatorium rotundifolium,round-leaved boneset,162801,Asteraceae
7422436,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9644248/medium.jpg,36.25011141,-75.78493562,Elephantopus carolinianus,leafy elephant's-foot,119609,Asteraceae
7422440,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9644254/medium.jpg,36.25007068,-75.78491139,Elephantopus carolinianus,leafy elephant's-foot,119609,Asteraceae
7424237,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9647010/medium.jpg,36.3750278,-75.83046326,Smilax bona-nox,saw greenbrier,125677,Smilacaceae
7427040,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9653010/medium.jpg,36.43412181,-75.84069832,Pueraria montana,kudzu,62671,Fabaceae
39345642,xpda,Robert Webster,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/62408851/medium.jpg,36.51256667,-75.95316667,Baccharis halimifolia,groundsel tree,84813,Asteraceae
39345648,xpda,Robert Webster,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/62408860/medium.jpg,36.51256667,-75.95316667,Baccharis halimifolia,groundsel tree,84813,Asteraceae
39345653,xpda,Robert Webster,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/62408867/medium.jpg,36.3918723,-75.9118432,Baccharis halimifolia,groundsel tree,84813,Asteraceae
39345658,xpda,Robert Webster,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/62408877/medium.jpg,36.3918723,-75.9118432,Baccharis halimifolia,groundsel tree,84813,Asteraceae
39345663,xpda,Robert Webster,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/62408898/medium.jpg,36.3918723,-75.9118432,Passiflora incarnata,purple passionflower,51453,Passifloraceae
6058169,joshl,,CC-BY,https://static.inaturalist.org/photos/7589182/medium.jpg,36.28924451,-75.80474415,Toxicodendron radicans,eastern poison ivy,58732,Anacardiaceae
6058959,joshl,,CC-BY,https://static.inaturalist.org/photos/7589327/medium.jpg,36.28713759,-75.80395508,Potentilla indica,mock strawberry,243824,Rosaceae
6059588,joshl,,CC-BY,https://static.inaturalist.org/photos/7589703/medium.jpg,36.28809124,-75.80429982,Toxicodendron radicans,eastern poison ivy,58732,Anacardiaceae
7591725,joshl,,CC-BY,https://static.inaturalist.org/photos/9917269/medium.jpg,36.37263652,-75.83380152,Asclepias incarnata,swamp milkweed,125381,Apocynaceae
7729751,joshl,,CC-BY,https://static.inaturalist.org/photos/10142066/medium.jpeg,36.29979062,-75.80838905,Phytolacca americana,American pokeweed,48599,Phytolaccaceae
7729758,joshl,,CC-BY,https://static.inaturalist.org/photos/10142186/medium.jpeg,36.29407685,-75.80743986,Desmodium paniculatum,panicled ticktrefoil,130993,Fabaceae
7729760,joshl,,CC-BY,https://static.inaturalist.org/photos/10142200/medium.jpeg,36.29365109,-75.80754269,Pontederia cordata,pickerelweed,52599,Pontederiaceae
7729762,joshl,,CC-BY,https://static.inaturalist.org/photos/10142205/medium.jpeg,36.29840212,-75.80872529,Gaillardia pulchella,Indian blanket,51768,Asteraceae
7729763,joshl,,CC-BY,https://static.inaturalist.org/photos/10142207/medium.jpeg,36.28894908,-75.80543604,Vitis rotundifolia,muscadine,82529,Vitaceae
7729767,joshl,,CC-BY,https://static.inaturalist.org/photos/10142240/medium.jpeg,36.30602919,-75.80848261,Typha latifolia,broad-leaved cattail,48685,Typhaceae
7786358,joshl,,CC-BY,https://static.inaturalist.org/photos/10234318/medium.jpeg,36.3733617,-75.8322659,Conoclinium coelestinum,blue mistflower,119095,Asteraceae
7811006,joshl,,CC-BY,https://static.inaturalist.org/photos/10274437/medium.jpeg,36.30165508,-75.80841064,Parthenocissus quinquefolia,Virginia creeper,50278,Vitaceae
7811008,joshl,,CC-BY,https://static.inaturalist.org/photos/10274452/medium.jpeg,36.30134381,-75.80802441,Vitis rotundifolia,muscadine,82529,Vitaceae
7811021,joshl,,CC-BY,https://static.inaturalist.org/photos/10274553/medium.jpeg,36.3016058,-75.8062368,Morella cerifera,wax myrtle,119956,Myricaceae
7880787,joshl,,CC-BY,https://static.inaturalist.org/photos/10389183/medium.jpeg,36.37345702,-75.83227158,Hibiscus moscheutos,swamp rose mallow,82317,Malvaceae
7880792,joshl,,CC-BY,https://static.inaturalist.org/photos/10389239/medium.jpeg,36.37458002,-75.82973957,Lonicera japonica,Japanese honeysuckle,77835,Caprifoliaceae
