id,user_login,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
3380,tgaw,"",,https://inaturalist-open-data.s3.amazonaws.com/photos/5950/medium.jpg,36.3948249817,-76.0163345337,Monotropa uniflora,Ghost Pipe,49477,Ericaceae
3382,tgaw,"",,https://inaturalist-open-data.s3.amazonaws.com/photos/5952/medium.jpg,36.3927536011,-76.0183105469,Quercus nigra,water oak,53640,Fagaceae
134378,james5,James Shelton,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/187360/medium.jpg,36.3935182,-75.8446802,Rhexia mariana,Maryland meadowbeauty,126318,Melastomataceae
377618,james5,James Shelton,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/472136/medium.jpg,36.394895,-75.83622,Quercus virginiana,southern live oak,49013,Fagaceae
377637,james5,James Shelton,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/472167/medium.jpg,36.394895,-75.83622,Diospyros virginiana,common persimmon,83435,Ebenaceae
380023,james5,James Shelton,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/475108/medium.jpg,36.394895,-75.83622,Hydrocotyle umbellata,manyflower marshpennywort,58792,Araliaceae
380027,james5,James Shelton,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/475112/medium.jpg,36.394895,-75.83622,Phyla lanceolata,lanceleaf frogfruit,59042,Verbenaceae
380035,james5,James Shelton,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/475125/medium.jpg,36.394895,-75.83622,Hibiscus moscheutos,swamp rose mallow,82317,Malvaceae
380062,james5,James Shelton,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/475165/medium.jpg,36.394895,-75.83622,Sagittaria lancifolia,lanceleaf arrowhead,69813,Alismataceae
381894,james5,James Shelton,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/477575/medium.jpg,36.394895,-75.83622,Acer rubrum,red maple,48098,Sapindaceae
381898,james5,James Shelton,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/477580/medium.jpg,36.394895,-75.83622,Magnolia virginiana,sweetbay magnolia,127906,Magnoliaceae
381899,james5,James Shelton,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/477581/medium.jpg,36.394895,-75.83622,Tillandsia usneoides,Spanish moss,49569,Bromeliaceae
1889609,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2304245/medium.jpg,36.4639283333,-76.02776,Acer rubrum,red maple,48098,Sapindaceae
1889614,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2304251/medium.jpg,36.46453,-76.0282666667,Liquidambar styraciflua,American sweetgum,49658,Altingiaceae
1889615,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2304252/medium.jpg,36.466015,-76.0288,Betula nigra,river birch,117429,Betulaceae
1889616,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2304253/medium.jpg,36.4646583333,-76.0281283333,Malus domestica,apple,469472,Rosaceae
2331074,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2585589/medium.jpg,36.4605633333,-76.0209116667,Acer rubrum,red maple,48098,Sapindaceae
2331075,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2585590/medium.jpg,36.4603933333,-76.02098,Quercus rubra,northern red oak,49005,Fagaceae
2331076,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2585591/medium.jpg,36.4603883333,-76.020965,Acer rubrum,red maple,48098,Sapindaceae
2331077,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2585592/medium.jpg,36.4603866667,-76.02096,Ulmus americana,American elm,53547,Ulmaceae
2331081,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2585598/medium.jpg,36.4600483333,-76.0218633333,Liriodendron tulipifera,tulip tree,53582,Magnoliaceae
2331083,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2585599/medium.jpg,36.4600616667,-76.0224616667,Lobelia puberula,downy lobelia,119142,Campanulaceae
2331086,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2585602/medium.jpg,36.4585883333,-76.02454,Asimina triloba,common pawpaw,50897,Annonaceae
2331087,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2585603/medium.jpg,36.4579366667,-76.027395,Hedera helix,common ivy,55882,Araliaceae
2331088,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2585604/medium.jpg,36.4589016667,-76.023785,Sassafras albidum,sassafras,54795,Lauraceae
2331094,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2585609/medium.jpg,36.4600366667,-76.0228533333,Liquidambar styraciflua,American sweetgum,49658,Altingiaceae
2333763,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2589663/medium.jpg,36.4640216667,-76.02475,Morella cerifera,wax myrtle,119956,Myricaceae
2333767,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2589667/medium.jpg,36.4692683333,-76.0284733333,Parthenocissus quinquefolia,Virginia creeper,50278,Vitaceae
2333768,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2589668/medium.jpg,36.4697566667,-76.0262383333,Rosa multiflora,multiflora rose,78882,Rosaceae
2333775,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2589673/medium.jpg,36.4649616667,-76.0283516667,Quercus rubra,northern red oak,49005,Fagaceae
2333790,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2589690/medium.jpg,36.460645,-76.020975,Liquidambar styraciflua,American sweetgum,49658,Altingiaceae
2333796,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2589697/medium.jpg,36.4632716667,-76.0276566667,Quercus nigra,water oak,53640,Fagaceae
2333798,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2589699/medium.jpg,36.4627133333,-76.02902,Morella cerifera,wax myrtle,119956,Myricaceae
2333801,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2589701/medium.jpg,36.4697433333,-76.0261683333,Parthenocissus quinquefolia,Virginia creeper,50278,Vitaceae
2333976,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2589888/medium.jpg,36.4622366667,-76.0293166667,Quercus nigra,water oak,53640,Fagaceae
2333977,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2589889/medium.jpg,36.4612583333,-76.028735,Acer rubrum,red maple,48098,Sapindaceae
2333978,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2589890/medium.jpg,36.461195,-76.0288033333,Liquidambar styraciflua,American sweetgum,49658,Altingiaceae
2333979,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2589891/medium.jpg,36.4609933333,-76.0293633333,Liriodendron tulipifera,tulip tree,53582,Magnoliaceae
2333982,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2589894/medium.jpg,36.458305,-76.0250533333,Acer saccharinum,silver maple,54762,Sapindaceae
2333983,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2589895/medium.jpg,36.458305,-76.025055,Hedera helix,common ivy,55882,Araliaceae
2333986,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2589899/medium.jpg,36.4601033333,-76.021775,Liquidambar styraciflua,American sweetgum,49658,Altingiaceae
2337295,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2593588/medium.jpg,36.460035,-76.0237333333,Oxalis corniculata,Creeping Woodsorrel,53168,Oxalidaceae
2337296,erikamitchell,Erika Mitchell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2593589/medium.jpg,36.46414,-76.0243016667,Pyrus calleryana,Callery pear,119793,Rosaceae
