id,user_login,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
842060,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1066067/medium.JPG,35.716771,-75.493831,Commelina erecta,whitemouth dayflower,53478,Commelinaceae
842061,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1066066/medium.JPG,35.716771,-75.493831,Hydrocotyle bonariensis,largeleaf pennywort,163871,Araliaceae
842062,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1066065/medium.JPG,35.716771,-75.493831,Toxicodendron radicans,eastern poison ivy,58732,Anacardiaceae
842064,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1066062/medium.JPG,35.716771,-75.493831,Gaillardia pulchella,Indian blanket,51768,Asteraceae
842065,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1066058/medium.JPG,35.716771,-75.493831,Kosteletzkya pentacarpos,Saltmarsh mallow,131656,Malvaceae
842067,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1066056/medium.JPG,35.716771,-75.493831,Ipomoea sagittata,Saltmarsh Morning-glory,131555,Convolvulaceae
842069,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1066050/medium.JPG,35.716771,-75.493831,Hibiscus moscheutos,swamp rose mallow,82317,Malvaceae
844070,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1068660/medium.JPG,36.142172,-75.733192,Parthenocissus quinquefolia,Virginia creeper,50278,Vitaceae
844074,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1068664/medium.JPG,36.142172,-75.733192,Lonicera sempervirens,coral honeysuckle,119809,Caprifoliaceae
844131,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1068736/medium.JPG,35.252463,-75.572336,Monarda punctata,spotted horse mint,118776,Lamiaceae
844145,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1068743/medium.JPG,36.073501,-75.718827,Sagittaria lancifolia,lanceleaf arrowhead,69813,Alismataceae
844146,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1068744/medium.JPG,36.073501,-75.718827,Mikania scandens,climbing hempvine,119145,Asteraceae
844148,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1068747/medium.JPG,36.073501,-75.718827,Liquidambar styraciflua,American sweetgum,49658,Altingiaceae
844150,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1068749/medium.JPG,36.073501,-75.718827,Quercus nigra,water oak,53640,Fagaceae
844152,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1068751/medium.JPG,36.073501,-75.718827,Tillandsia usneoides,Spanish moss,49569,Bromeliaceae
844155,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1068755/medium.JPG,36.073501,-75.718827,Phragmites australis,common reed,64237,Poaceae
844190,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1068798/medium.JPG,35.762874,-75.516845,Uniola paniculata,sea oats,126303,Poaceae
844204,calopteryx,Matthew O'Donnell,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/1068811/medium.JPG,35.770151,-75.524312,Strophostyles helvola,trailing fuzzy-bean,204420,Fabaceae
3378002,bradleysaul,Bradley Saul,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/3902208/medium.jpg,35.23733699,-75.6018715,Opuntia drummondii,Creeping Cactus,596540,Cactaceae
3378013,bradleysaul,Bradley Saul,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/3902225/medium.jpg,35.2377239,-75.60085846,Lonicera sempervirens,coral honeysuckle,119809,Caprifoliaceae
3378361,bradleysaul,Bradley Saul,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/3902692/medium.jpg,35.24136456,-75.60110024,Gaillardia pulchella,Indian blanket,51768,Asteraceae
3740586,mduffy,Maura,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/4348861/medium.jpeg,35.85060503,-75.56913026,Uniola paniculata,sea oats,126303,Poaceae
3980987,ruggedbynature,Jon,CC0,http://static.inaturalist.org/photos/4697495/medium.jpg,36.086954,-75.717478,Opuntia drummondii,Creeping Cactus,596540,Cactaceae
3980990,ruggedbynature,Jon,CC0,http://static.inaturalist.org/photos/4697500/medium.jpg,36.083774,-75.712664,Centrosema virginianum,butterfly pea,127681,Fabaceae
4620916,ruggedbynature,Jon,CC0,http://static.inaturalist.org/photos/5591901/medium.jpeg,36.08471186,-75.71619093,Callicarpa americana,American beautyberry,49193,Lamiaceae
4634160,ruggedbynature,Jon,CC0,http://static.inaturalist.org/photos/5607608/medium.jpeg,36.08526291,-75.7117331,Parthenocissus quinquefolia,Virginia creeper,50278,Vitaceae
4634167,ruggedbynature,Jon,CC0,http://static.inaturalist.org/photos/5607625/medium.jpeg,36.08526291,-75.7117331,Smilax bona-nox,saw greenbrier,125677,Smilacaceae
4634169,ruggedbynature,Jon,CC0,http://static.inaturalist.org/photos/5607624/medium.jpeg,36.08526291,-75.7117331,Uniola paniculata,sea oats,126303,Poaceae
4634171,ruggedbynature,Jon,CC0,http://static.inaturalist.org/photos/5607626/medium.jpeg,36.08526291,-75.7117331,Sassafras albidum,sassafras,54795,Lauraceae
4634175,ruggedbynature,Jon,CC0,http://static.inaturalist.org/photos/5607634/medium.jpeg,36.08526291,-75.7117331,Elaeagnus pungens,thorny olive,162214,Elaeagnaceae
4634179,ruggedbynature,Jon,CC0,http://static.inaturalist.org/photos/5607640/medium.jpeg,36.08526291,-75.7117331,Eupatorium capillifolium,dogfennel,131154,Asteraceae
4634180,ruggedbynature,Jon,CC0,http://static.inaturalist.org/photos/5607641/medium.jpeg,36.08526291,-75.7117331,Campsis radicans,American trumpet vine,75995,Bignoniaceae
4634181,ruggedbynature,Jon,CC0,http://static.inaturalist.org/photos/5607642/medium.jpeg,36.08526291,-75.7117331,Arundinaria tecta,switch cane,747236,Poaceae
4634195,ruggedbynature,Jon,CC0,http://static.inaturalist.org/photos/5607665/medium.jpeg,36.08515698,-75.70924713,Allium vineale,wild garlic,75371,Amaryllidaceae
7393606,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9597950/medium.jpeg,36.08731669,-75.70748985,Pueraria montana,kudzu,62671,Fabaceae
7393607,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9597964/medium.jpeg,36.0873156,-75.70747778,Campsis radicans,American trumpet vine,75995,Bignoniaceae
7393611,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9598005/medium.jpeg,36.08733078,-75.70748717,Smilax auriculata,Earleaf Greenbrier,127910,Smilacaceae
7393615,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9598081/medium.jpeg,36.08704791,-75.70453003,Gaillardia pulchella,Indian blanket,51768,Asteraceae
7393618,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9598160/medium.jpeg,36.08712486,-75.70427656,Opuntia drummondii,Creeping Cactus,596540,Cactaceae
7393642,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9598458/medium.jpeg,36.095476,-75.7076776,Pueraria montana,kudzu,62671,Fabaceae
7394640,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9599532/medium.jpeg,36.08746127,-75.70267104,Phyla nodiflora,turkey tangle frogfruit,59040,Verbenaceae
7394644,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9599557/medium.jpeg,36.08704853,-75.7086275,Lepidium virginicum,Virginia pepperweed,77676,Brassicaceae
7394651,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9599656/medium.jpeg,36.00015177,-75.72804916,Phytolacca americana rigida,Maritime Pokeweed,242241,Phytolaccaceae
7394652,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9599668/medium.jpeg,36.08483047,-75.71018614,Sassafras albidum,sassafras,54795,Lauraceae
7394656,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9599746/medium.jpeg,36.0844869,-75.71106657,Lonicera japonica,Japanese honeysuckle,77835,Caprifoliaceae
7394657,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9599753/medium.jpeg,36.08443052,-75.71118996,Smilax bona-nox,saw greenbrier,125677,Smilacaceae
7394676,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9599898/medium.jpeg,36.08415524,-75.7121475,Passiflora lutea,yellow passionflower,51450,Passifloraceae
7394677,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9599906/medium.jpeg,36.08404467,-75.71227223,Callicarpa americana,American beautyberry,49193,Lamiaceae
7394680,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9599956/medium.jpeg,36.08358514,-75.71278051,Passiflora lutea,yellow passionflower,51450,Passifloraceae
7394686,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9599991/medium.jpeg,36.08312984,-75.71585834,Commelina erecta,whitemouth dayflower,53478,Commelinaceae
7394687,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9599997/medium.jpeg,36.08345505,-75.7160756,Clitoria mariana,Pigeonwings,82324,Fabaceae
7394689,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9600007/medium.jpeg,36.08486398,-75.71656644,Clitoria mariana,Pigeonwings,82324,Fabaceae
7394694,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9600045/medium.jpeg,36.0863033,-75.71641624,Toxicodendron radicans,eastern poison ivy,58732,Anacardiaceae
7394696,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9600047/medium.jpeg,36.08651141,-75.7159254,Acer rubrum,red maple,48098,Sapindaceae
7394697,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9600056/medium.jpeg,36.08656562,-75.71586505,Mitchella repens,partridgeberry,83799,Rubiaceae
7394712,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9600147/medium.jpeg,36.08736113,-75.71543455,Saururus cernuus,lizard's tail,60742,Saururaceae
7394718,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9600179/medium.jpeg,36.08367621,-75.71298569,Centrosema virginianum,butterfly pea,127681,Fabaceae
7405696,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9617686/medium.jpg,36.08643309,-75.7062241,Portulaca amilis,Paraguayan Purslane,127899,Portulacaceae
7434360,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9663805/medium.jpg,35.8381586,-75.91882319,Pontederia cordata,pickerelweed,52599,Pontederiaceae
7439583,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9671432/medium.jpg,35.89364781,-75.63868289,Hydrocotyle bonariensis,largeleaf pennywort,163871,Araliaceae
7439596,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9671452/medium.jpg,35.89366713,-75.63867057,Bacopa monnieri,Herb-of-Grace,75732,Plantaginaceae
7439609,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9671478/medium.jpg,35.89357551,-75.63861416,Euphorbia maculata,Spotted spurge,58893,Euphorbiaceae
7446407,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9683243/medium.jpg,36.08415828,-75.71147536,Hydrocotyle prolifera,Whorled Marshpennywort,204638,Araliaceae
7446420,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9683250/medium.jpg,36.084153,-75.71185992,Paspalum notatum,Bahia grass,166188,Poaceae
7446425,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9683257/medium.jpg,36.08413565,-75.71164677,Boehmeria cylindrica,false nettle,75832,Urticaceae
7448722,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/9686639/medium.jpg,36.01098691,-75.6600114,Opuntia drummondii,Creeping Cactus,596540,Cactaceae
8895980,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/11969433/medium.jpeg,36.08732969,-75.70265383,Quercus alba,white oak,54779,Fagaceae
8897106,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/11969372/medium.jpeg,36.08392549,-75.71148902,Allium vineale,wild garlic,75371,Amaryllidaceae
8897110,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/11969403/medium.jpeg,36.08393307,-75.71141794,Rubus hispidus,swamp dewberry,69713,Rosaceae
8897111,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/11969405/medium.jpeg,36.08389947,-75.7114099,Lonicera japonica,Japanese honeysuckle,77835,Caprifoliaceae
8897112,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/11969410/medium.jpeg,36.08388972,-75.71136966,Vitis rotundifolia,muscadine,82529,Vitaceae
8897115,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/11969427/medium.jpeg,36.08384203,-75.7114099,Morella cerifera,wax myrtle,119956,Myricaceae
8897116,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/11969429/medium.jpeg,36.08381277,-75.71144879,Smilax bona-nox,saw greenbrier,125677,Smilacaceae
8897117,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/11969432/medium.jpeg,36.08378242,-75.71141124,Smilax bona-nox,saw greenbrier,125677,Smilacaceae
8897118,ruggedbynature,Jon,CC0,https://static.inaturalist.org/photos/11969440/medium.jpeg,36.08374557,-75.71140319,Taraxacum officinale,common dandelion,47602,Asteraceae
