id,user_login,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
832070,ncnhp,North Carolina Natural Heritage Program,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1051962/medium.jpg,35.491704,-76.28623,Apios americana,American groundnut,119817,Fabaceae
832071,ncnhp,North Carolina Natural Heritage Program,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1051963/medium.jpg,35.472204,-76.296229,Symplocos tinctoria,Sweetleaf,141855,Symplocaceae
1810515,earthstephen,Stephen,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/2195063/medium.jpg,35.1080195,-75.97487,Lotus corniculatus corniculatus,common bird's-foot trefoil,55665,Fabaceae
1871949,earthstephen,Stephen,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/2279617/medium.jpg,35.1086916667,-75.9765633333,Ipomoea sagittata,Saltmarsh Morning-glory,131555,Convolvulaceae
1888286,td_schreck,Tim Schreckengost,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/2302382/medium.jpg,35.10896,-75.985994,Kosteletzkya pentacarpos,Saltmarsh mallow,131656,Malvaceae
2451399,cullen,Cullen Hanks,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/2738461/medium.jpg,35.47963,-76.12362,Liquidambar styraciflua,American sweetgum,49658,Altingiaceae
2451504,cullen,Cullen Hanks,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/2738622/medium.jpg,35.4787964048,-76.1249307544,Phragmites australis,common reed,64237,Poaceae
2632519,sarracenia,C Coor,CC-BY-NC-ND,https://inaturalist-open-data.s3.amazonaws.com/photos/2950420/medium.JPG,35.374829,-76.158408,Smilax walteri,Coral Greenbrier,169049,Smilacaceae
3451707,ditchontologist,Chelsea Clifford,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4004384/medium.jpg,35.4922505329,-75.9912776203,Campsis radicans,American trumpet vine,75995,Bignoniaceae
3451713,ditchontologist,Chelsea Clifford,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4004399/medium.jpg,35.5051604393,-76.4458126216,Asclepias lanceolata,fewflower milkweed,158744,Apocynaceae
3820646,bigdadbutz,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4467697/medium.jpg,35.6852835685,-76.597242352,Passiflora incarnata,purple passionflower,51453,Passifloraceae
4957120,whiteoak,Alan Weakley,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/6046843/medium.jpg,35.451483219,-76.2153141574,Symplocos tinctoria,Sweetleaf,141855,Symplocaceae
4957128,whiteoak,Alan Weakley,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/6046850/medium.jpg,35.451511466,-76.2158811093,Morella cerifera,wax myrtle,119956,Myricaceae
