id,user_login,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
73883345,insect_inspector,Quinn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/120684027/medium.jpeg,34.76378803,-77.42375037,Geranium carolinianum,Carolina crane's-bill,58917,Geraniaceae
73885388,insect_inspector,Quinn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/120687586/medium.jpeg,34.7639071,-77.42384018,Hydrocotyle ranunculoides,floating marsh pennywort,60951,Araliaceae
73957856,insect_inspector,Quinn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/120817712/medium.jpeg,34.76388325,-77.42367589,Sisyrinchium rosulatum,Annual Blue-eyed Grass,169028,Iridaceae
73959125,insect_inspector,Quinn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/120819573/medium.jpeg,34.76403803,-77.42350584,Triodanis biflora,Venus's looking-glass,79440,Campanulaceae
73964407,insect_inspector,Quinn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/120828258/medium.jpeg,34.76390371,-77.42380163,Triodanis perfoliata,clasping Venus's looking glass,64293,Campanulaceae
73964552,insect_inspector,Quinn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/120828457/medium.jpeg,34.76393901,-77.42380487,Nothoscordum bivalve,crowpoison,125462,Amaryllidaceae
73964613,insect_inspector,Quinn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/120828574/medium.jpeg,34.76398278,-77.42383282,Oxalis articulata,pink-sorrel,57805,Oxalidaceae
74181906,insect_inspector,Quinn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/121209041/medium.jpeg,34.74633927,-77.41246634,Leucothoe axillaris,Swamp Dog-laurel,127488,Ericaceae
6515810,eraskin,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/8251276/medium.jpg,34.63515253,-77.6162427,Lachnanthes caroliniana,Carolina Redroot,204338,Haemodoraceae
6515817,eraskin,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/8251387/medium.jpg,34.6347445,-77.6167708,Polygala ramosa,low pinebarren milkwort,167201,Polygalaceae
6515820,eraskin,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/8251400/medium.jpg,34.63465794,-77.61690314,Polygala incarnata,Pink Milkwort,148277,Polygalaceae
6515821,eraskin,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/8251463/medium.jpg,34.63305562,-77.62028388,Rhexia alifanus,Savannah meadowbeauty,131637,Melastomataceae
6515822,eraskin,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/8251468/medium.jpg,34.63326944,-77.6188977,Rhexia lutea,yellow meadowbeauty,167797,Melastomataceae
6515823,eraskin,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/8251484/medium.jpg,34.69467709,-77.77131937,Thalictrum cooleyi,Cooley's Meadow-rue,169655,Ranunculaceae
6559359,eraskin,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/8318274/medium.jpg,34.73104238,-77.74031149,Calopogon pallidus,Pale Grasspink,159702,Orchidaceae
6559360,eraskin,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/8318273/medium.jpg,34.64627639,-77.6045831,Calopogon pallidus,Pale Grasspink,159702,Orchidaceae
6559361,eraskin,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/8318270/medium.jpg,34.63391636,-77.61763013,Aletris farinosa,White-tubed Colicroot,158161,Nartheciaceae
6703266,eraskin,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/8503122/medium.jpg,34.63388502,-77.61355936,Berchemia scandens,Supplejack,119960,Rhamnaceae
6703267,eraskin,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/8503154/medium.jpg,34.62615152,-77.62867259,Iris tridentata,Savanna Iris,164136,Iridaceae
6703270,eraskin,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/8503174/medium.jpg,34.63472444,-77.61646276,Smilax laurifolia,laurel-leaf greenbrier,169043,Smilacaceae
