id,user_login,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
881350,hcc13,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1119026/medium.jpg,35.029991,-76.816397,Solanum carolinense,Carolina horsenettle,52899,Solanaceae
7223424,roger26,Roger Lumb,,https://static.inaturalist.org/photos/9324329/medium.jpg,35.003234012,-76.6798171458,Quercus nigra,water oak,53640,Fagaceae
7453880,ardysnbread,Ardys Richards,,https://static.inaturalist.org/photos/9695091/medium.jpg,35.0309956,-76.6929867,Quercus phellos,willow oak,119983,Fagaceae
7453892,ardysnbread,Ardys Richards,,https://static.inaturalist.org/photos/9695111/medium.jpg,35.0309956,-76.6929867,Quercus alba,white oak,54779,Fagaceae
7453897,ardysnbread,Ardys Richards,,https://static.inaturalist.org/photos/9695121/medium.jpg,35.0309956,-76.6929867,Commelina communis,Asiatic dayflower,52927,Commelinaceae
7453901,ardysnbread,Ardys Richards,,https://static.inaturalist.org/photos/9695126/medium.jpg,35.0309956,-76.6929867,Liquidambar styraciflua,American sweetgum,49658,Altingiaceae
7453902,ardysnbread,Ardys Richards,,https://static.inaturalist.org/photos/9695128/medium.jpg,35.0309956,-76.6929867,Acer rubrum,red maple,48098,Sapindaceae
7461781,ardysnbread,Ardys Richards,,https://static.inaturalist.org/photos/9707534/medium.jpg,35.0309956,-76.6929867,Albizia julibrissin,Persian silk tree,47443,Fabaceae
7512577,ardysnbread,Ardys Richards,,https://static.inaturalist.org/photos/9791617/medium.jpg,35.0309956,-76.6929867,Cornus florida,flowering dogwood,54777,Cornaceae
10758848,bigdadbutz,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/15042383/medium.jpg,35.0897515225,-76.6553458135,Symplocos tinctoria,Sweetleaf,141855,Symplocaceae
19258272,markmcknight,Mark McKnight,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/29592165/medium.jpg,34.9739198,-76.7936377,Tillandsia usneoides,Spanish moss,49569,Bromeliaceae
