id,user_login,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
671959,bonnieeamick,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/846350/medium.JPG,34.5563908818,-77.7531404519,Dionaea muscipula,Venus flytrap,52666,Droseraceae
671973,bonnieeamick,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/846366/medium.JPG,34.4860082916,-77.633553647,Sarracenia flava,yellow pitcher plant,81900,Sarraceniaceae
671979,bonnieeamick,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/846370/medium.JPG,34.527329,-77.722316,Drosera capillaris,Pink Sundew,162094,Droseraceae
671985,bonnieeamick,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/846374/medium.JPG,34.4023170274,-77.6386289822,Drosera intermedia,spoonleaf sundew,53038,Droseraceae
1554469,spartina,"",,http://static.inaturalist.org/photos/1925306/medium.jpg,34.4028388526,-77.8172984916,Nuphar sagittifolia,Arrow-leaved Water-lily,355651,Nymphaeaceae
1713800,johnnybirder,Johnny Wilson,CC-BY-NC,http://static.inaturalist.org/photos/2075240/medium.jpg,34.415981,-77.570968,Phragmites australis,common reed,64237,Poaceae
1737350,johnnybirder,Johnny Wilson,CC-BY-NC,http://static.inaturalist.org/photos/2106301/medium.jpg,34.4163366667,-77.57125,Hydrocotyle bonariensis,largeleaf pennywort,163871,Araliaceae
2570455,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2866911/medium.jpg,34.3592725369,-77.6790559665,Ilex vomitoria,Yaupon Holly,119955,Aquifoliaceae
2637392,popthinks,Steve Bouton,,http://static.inaturalist.org/photos/2957248/medium.jpg,34.367594,-77.710548,Convallaria,lilies of the valley,48210,Asparagaceae
3031867,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/3490278/medium.jpg,34.359642095,-77.6791599859,Sassafras albidum,sassafras,54795,Lauraceae
3031920,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/3490342/medium.jpg,34.3596996367,-77.6792332438,Quercus phellos,willow oak,119983,Fagaceae
3031943,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/3490364/medium.jpg,34.3597444799,-77.6793314797,Castanea pumila,Alleghany Chinkapin,84363,Fagaceae
3037468,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/3497262/medium.jpg,34.359062654,-77.6792997961,Ilex vomitoria,Yaupon Holly,119955,Aquifoliaceae
3442152,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/3990742/medium.jpg,34.3594677514,-77.6805671398,Callicarpa americana,American beautyberry,49193,Lamiaceae
3442180,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/3990779/medium.jpg,34.3598070089,-77.6804400702,Sabal minor,Dwarf Palmetto,81804,Arecaceae
3866339,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4532225/medium.jpg,34.359061271,-77.680543922,Kosteletzkya pentacarpos,Saltmarsh mallow,131656,Malvaceae
3887070,gmskupien,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4562732/medium.jpg,34.3658927252,-77.6278880311,Hydrocotyle bonariensis,largeleaf pennywort,163871,Araliaceae
3891671,gmskupien,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4572752/medium.jpg,34.3657812793,-77.6281608143,Gaillardia pulchella,Indian blanket,51768,Asteraceae
3893474,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4572550/medium.jpg,34.3593126862,-77.6804056206,Cyrilla racemiflora,Swamp titi,161508,Cyrillaceae
3893599,gmskupien,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4572754/medium.jpg,34.3663485079,-77.6283598556,Monarda punctata,spotted horse mint,118776,Lamiaceae
3900890,amelia13,Amelia Oswald-Hardin,,http://static.inaturalist.org/photos/4583938/medium.jpeg,34.4297618208,-78.1074711308,Drosera intermedia,spoonleaf sundew,53038,Droseraceae
3919446,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4610920/medium.jpg,34.3593987683,-77.6799395029,Iva frutescens,marsh elder,131165,Asteraceae
3994356,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4716470/medium.jpg,34.3597117486,-77.6790834592,Allium tuberosum,Garlic Chives,122343,Amaryllidaceae
4001569,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4726565/medium.jpg,34.3596881116,-77.679464249,Campsis radicans,American trumpet vine,75995,Bignoniaceae
4003805,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4728502/medium.jpg,34.3594233273,-77.6793806814,Eupatorium capillifolium,dogfennel,131154,Asteraceae
4260233,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/5098507/medium.jpg,34.3590871292,-77.6803537366,Helianthus angustifolius,narrowleaf sunflower,126700,Asteraceae
4260251,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/5098545/medium.jpg,34.3595437333,-77.681269208,Diospyros virginiana,common persimmon,83435,Ebenaceae
4269329,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/5111798/medium.jpg,34.3594707689,-77.6790260431,Quercus virginiana,southern live oak,49013,Fagaceae
4279754,jspruill,Jack Spruill,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/5127690/medium.jpg,34.359313692,-77.6802578476,Quercus lyrata,overcup oak,82754,Fagaceae
